CoCd,Material,Short Text,Plnt,SLoc,Matl Group,PO Quantity,Net Price,Net Value,Gross value,Price Date,Daily Median Net Price
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,A012,1500,8850.0,26.4,233640.0,233640.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,A012,1500,1150.0,24.26,27899.0,27899.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B056,1500,1250.0,29.45,36812.5,36812.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B056,1500,2700.0,27.4,73980.0,73980.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B056,1500,1050.0,25.26,26523.0,26523.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B286,1500,1250.0,29.45,36812.5,36812.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B286,1500,2700.0,27.4,73980.0,73980.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B286,1500,1050.0,25.26,26523.0,26523.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F003,1500,7000.0,25.76,180320.0,180320.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Starter Feed,PS36,F003,1500,8000.0,27.9,223200.0,223200.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F003,1500,16000.0,25.76,412160.0,412160.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B231,1500,2950.0,29.45,86877.5,86877.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B231,1500,6450.0,27.4,176730.0,176730.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS27,B231,1500,250.0,25.26,6315.0,6315.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS27,B202,1500,9550.0,25.26,241233.0,241233.0,2019-01-02,27.17
